"Ontology","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","1","GO:0032640","tumor necrosis factor production","5/73","87/13552",0.000103482321775081,0.0104211520013166,0.0089774916571636,"PTAFR/TREM2/CCL3/TMEM106A/CD33",5
"BP","1","GO:0071706","tumor necrosis factor superfamily cytokine production","5/73","89/13552",0.000115281423746819,0.0104211520013166,0.0089774916571636,"PTAFR/TREM2/CCL3/TMEM106A/CD33",5
"BP","1","GO:0043032","positive regulation of macrophage activation","3/73","18/13552",0.000115460740696971,0.0104211520013166,0.0089774916571636,"TREM2/CCL3/CEBPA",3
"BP","1","GO:0006911","phagocytosis, engulfment","4/73","47/13552",0.000115994076171656,0.0104211520013166,0.0089774916571636,"ARHGAP25/GATA2/TREM2/BIN2",4
"BP","1","GO:0034341","response to interferon-gamma","6/73","151/13552",0.000159476485256856,0.0124193340520843,0.0106988620668836,"PTAFR/GBP4/OAS1/IRF8/CCL3/IL12RB1",6
"BP","1","GO:0032691","negative regulation of interleukin-1 beta production","3/73","20/13552",0.000160061715961251,0.0124193340520843,0.0106988620668836,"CX3CR1/TREM2/CD33",3
"BP","1","GO:0050901","leukocyte tethering or rolling","3/73","20/13552",0.000160061715961251,0.0124193340520843,0.0106988620668836,"PTAFR/CX3CR1/SPN",3
"BP","1","GO:0032692","negative regulation of interleukin-1 production","3/73","21/13552",0.000186017582451567,0.0135468533274745,0.0116701841325082,"CX3CR1/TREM2/CD33",3
"BP","1","GO:0071219","cellular response to molecule of bacterial origin","6/73","156/13552",0.00019046542463936,0.0135468533274745,0.0116701841325082,"PTAFR/CX3CR1/TREM2/IRF8/CCL3/LILRA2",6
"BP","1","GO:0099024","plasma membrane invagination","4/73","55/13552",0.000214704322398026,0.0146600111333372,0.0126291342480018,"ARHGAP25/GATA2/TREM2/BIN2",4
"BP","1","GO:0006909","phagocytosis","7/73","229/13552",0.000226830467337056,0.0148922926055521,0.0128292373631525,"ARHGAP25/GATA2/TREM2/BIN2/PLD4/IRF8/CD300LF",7
"BP","1","GO:0002685","regulation of leukocyte migration","6/73","163/13552",0.000241644292382606,0.0152772891517447,0.0131608996669981,"PTAFR/CX3CR1/TREM2/SPN/CCL3/EDN3",6
"CC","1","GO:0005942","phosphatidylinositol 3-kinase complex","3/78","23/14163",0.000262869502388338,0.0339101658080955,0.0320977497653128,"PIK3R6/PIK3R5/SOCS6",3
"BP","-1","GO:0032922","circadian regulation of gene expression","3/29","60/13552",0.000277760502815084,0.193043549456483,0.165779163259108,"CIART/PER1/NR1D1",3
"BP","1","GO:1905523","positive regulation of macrophage migration","3/73","25/13552",0.000316747077050279,0.0193102593044581,0.0166351754375654,"CX3CR1/TREM2/CCL3",3
"MF","-1","GO:0001222","transcription corepressor binding","2/27","14/13926",0.000324727004991641,0.0165610772545737,0.0131599891496613,"PER1/NR1D1",2
"BP","1","GO:0002696","positive regulation of leukocyte activation","7/73","247/13552",0.000359226916826862,0.0206554395691225,0.017794005536376,"PTAFR/GATA2/TREM2/PIK3R6/CCL3/IL12RB1/CEBPA",7
"BP","1","GO:0010324","membrane invagination","4/73","63/13552",0.000363012997699868,0.0206554395691225,0.017794005536376,"ARHGAP25/GATA2/TREM2/BIN2",4
"BP","1","GO:0050900","leukocyte migration","8/73","329/13552",0.000377553513277831,0.0206763338327517,0.0178120052812593,"PTAFR/CD84/CX3CR1/TREM2/SPN/ITGAX/CCL3/EDN3",8
"BP","1","GO:0071216","cellular response to biotic stimulus","6/73","179/13552",0.000399442966142343,0.0206763338327517,0.0178120052812593,"PTAFR/CX3CR1/TREM2/IRF8/CCL3/LILRA2",6
"BP","1","GO:0030851","granulocyte differentiation","3/73","27/13552",0.00039971822875267,0.0206763338327517,0.0178120052812593,"TAL1/GATA2/CEBPA",3
"BP","1","GO:0002683","negative regulation of immune system process","8/73","340/13552",0.000469900735351337,0.0235917810366098,0.0203235705042049,"TAL1/CD84/GATA2/A2M/SPN/CCL3/CD300LF/SOCS6",8
"BP","1","GO:0007599","hemostasis","7/73","264/13552",0.000535401609540465,0.0261123013567307,0.0224949187527227,"GATA2/TREML1/FLI1/A2M/PIK3R6/PIK3R5/DOCK11",7
"BP","1","GO:0042742","defense response to bacterium","5/73","127/13552",0.000602750605268861,0.0278892426660735,0.0240256972864087,"GBP4/TREM2/MPEG1/SPN/IRF8",5
"BP","1","GO:0032609","interferon-gamma production","4/73","72/13552",0.000604511996862754,0.0278892426660735,0.0240256972864087,"SPN/IRF8/IL12RB1/TLR7",4
"BP","1","GO:0030335","positive regulation of cell migration","9/73","446/13552",0.000626414971614036,0.0281392199090831,0.0242410447463936,"PTAFR/CX3CR1/SEMA3G/GATA2/TREM2/SPN/ITGAX/CCL3/EDN3",9
"BP","1","GO:0061756","leukocyte adhesion to vascular endothelial cell","3/73","33/13552",0.000728518813149981,0.0318867080524876,0.0274693868278144,"PTAFR/CX3CR1/SPN",3
"BP","1","GO:0002275","myeloid cell activation involved in immune response","9/73","459/13552",0.000769034723987878,0.0320181042401782,0.0275825804726846,"PTAFR/CD84/GATA2/TREM2/BIN2/ITGAX/CCL3/CD33/LILRA2",9
"BP","1","GO:2000147","positive regulation of cell motility","9/73","459/13552",0.000769034723987878,0.0320181042401782,0.0275825804726846,"PTAFR/CX3CR1/SEMA3G/GATA2/TREM2/SPN/ITGAX/CCL3/EDN3",9
"BP","1","GO:0008217","regulation of blood pressure","5/73","139/13552",0.000906883064420494,0.0347845012046269,0.0299657436455856,"PTAFR/ADRB2/RAMP2/EDN3/RENBP",5
"BP","1","GO:0040017","positive regulation of locomotion","9/73","471/13552",0.000923291117159431,0.0347845012046269,0.0299657436455856,"PTAFR/CX3CR1/SEMA3G/GATA2/TREM2/SPN/ITGAX/CCL3/EDN3",9
"BP","1","GO:0045766","positive regulation of angiogenesis","5/73","140/13552",0.000936572168815998,0.0347845012046269,0.0299657436455856,"CX3CR1/GATA2/ITGAX/PIK3R6/RAMP2",5
"BP","1","GO:0001774","microglial cell activation","3/73","36/13552",0.000942407084199872,0.0347845012046269,0.0299657436455856,"TREM2/CCL3/TLR7",3
"BP","1","GO:0002269","leukocyte activation involved in inflammatory response","3/73","36/13552",0.000942407084199872,0.0347845012046269,0.0299657436455856,"TREM2/CCL3/TLR7",3
"BP","1","GO:0051272","positive regulation of cellular component movement","9/73","474/13552",0.000965557467996009,0.0347845012046269,0.0299657436455856,"PTAFR/CX3CR1/SEMA3G/GATA2/TREM2/SPN/ITGAX/CCL3/EDN3",9
"BP","1","GO:0032680","regulation of tumor necrosis factor production","4/73","82/13552",0.000986964359464674,0.0347845012046269,0.0299657436455856,"PTAFR/TREM2/CCL3/CD33",4
"BP","-1","GO:0042634","regulation of hair cycle","2/29","22/13552",0.000994625023614812,0.246814317364548,0.211955650050282,"CDH3/PER1",2
"BP","1","GO:0033003","regulation of mast cell activation","3/73","37/13552",0.00102161367470872,0.0347845012046269,0.0299657436455856,"CD84/GATA2/CD300LF",3
"BP","1","GO:1905521","regulation of macrophage migration","3/73","37/13552",0.00102161367470872,0.0347845012046269,0.0299657436455856,"CX3CR1/TREM2/CCL3",3
"BP","1","GO:0048863","stem cell differentiation","6/73","216/13552",0.00107048825397233,0.0347845012046269,0.0299657436455856,"TAL1/SEMA3G/GATA2/LMO2/A2M/EDN3",6
"BP","1","GO:1902105","regulation of leukocyte differentiation","6/73","216/13552",0.00107048825397233,0.0347845012046269,0.0299657436455856,"TAL1/GATA2/TREM2/PIK3R6/CCL3/IL12RB1",6
"BP","1","GO:1903555","regulation of tumor necrosis factor superfamily cytokine production","4/73","84/13552",0.00108001087512901,0.0347845012046269,0.0299657436455856,"PTAFR/TREM2/CCL3/CD33",4
"BP","1","GO:0043300","regulation of leukocyte degranulation","3/73","39/13552",0.00119238394021795,0.0362353959399341,0.031215643405228,"PTAFR/CD84/GATA2",3
"BP","1","GO:0002703","regulation of leukocyte mediated immunity","5/73","149/13552",0.00123740961905424,0.0362353959399341,0.031215643405228,"PTAFR/CD84/GATA2/PIK3R6/IL12RB1",5
"BP","1","GO:0071222","cellular response to lipopolysaccharide","5/73","149/13552",0.00123740961905424,0.0362353959399341,0.031215643405228,"PTAFR/CX3CR1/IRF8/CCL3/LILRA2",5
"BP","1","GO:0035589","G protein-coupled purinergic nucleotide receptor signaling pathway","2/73","10/13552",0.00125242434707447,0.0362353959399341,0.031215643405228,"PTAFR/P2RY13",2
"BP","1","GO:0043373","CD4-positive, alpha-beta T cell lineage commitment","2/73","10/13552",0.00125242434707447,0.0362353959399341,0.031215643405228,"SPN/IL12RB1",2
"BP","1","GO:0150078","positive regulation of neuroinflammatory response","2/73","10/13552",0.00125242434707447,0.0362353959399341,0.031215643405228,"TREM2/CCL3",2
"BP","1","GO:0003018","vascular process in circulatory system","5/73","150/13552",0.00127477585616465,0.0362673731078844,0.0312431907203863,"PTAFR/ABCG2/ADRB2/RAMP2/EDN3",5
"MF","1","GO:0045028","G protein-coupled purinergic nucleotide receptor activity","2/78","10/13926",0.00135371931193148,0.0507534382102949,0.0459916739846151,"PTAFR/P2RY13",2
"MF","1","GO:0004930","G protein-coupled receptor activity","7/78","298/13926",0.00138150210844545,0.0507534382102949,0.0459916739846151,"PTAFR/CX3CR1/P2RY13/ADRB2/LPAR6/RAMP2/CYSLTR1",7
"BP","1","GO:0043030","regulation of macrophage activation","3/73","42/13552",0.00148060646901221,0.0413313491531399,0.0356056453408174,"TREM2/CCL3/CEBPA",3
"KEGG","-1","hsa04710","Circadian rhythm","2/13","28/6190",0.00149252075208478,0.0217460516095322,0.0179854562184101,"5187/9572",2
"BP","1","GO:0033004","negative regulation of mast cell activation","2/73","11/13552",0.00152541007419321,0.0413313491531399,0.0356056453408174,"CD84/CD300LF",2
"BP","1","GO:0098883","synapse pruning","2/73","11/13552",0.00152541007419321,0.0413313491531399,0.0356056453408174,"CX3CR1/TREM2",2
"KEGG","-1","hsa00982","Drug metabolism - cytochrome P450","2/13","29/6190",0.00160117945182377,0.0217460516095322,0.0179854562184101,"1558/119391",2
"BP","1","GO:1904018","positive regulation of vasculature development","5/73","158/13552",0.00160450079221402,0.0423521877246131,0.0364850653663149,"CX3CR1/GATA2/ITGAX/PIK3R6/RAMP2",5
"BP","1","GO:0043270","positive regulation of ion transport","6/73","234/13552",0.00161270779267712,0.0423521877246131,0.0364850653663149,"PTAFR/ADRB2/TREM2/CCL3/LILRA2/EDN3",6
"BP","1","GO:0032729","positive regulation of interferon-gamma production","3/73","44/13552",0.00169500996373617,0.0430288837410033,0.0370680175045056,"IRF8/IL12RB1/TLR7",3
"BP","1","GO:0061900","glial cell activation","3/73","44/13552",0.00169500996373617,0.0430288837410033,0.0370680175045056,"TREM2/CCL3/TLR7",3
"CC","1","GO:0098802","plasma membrane signaling receptor complex","5/78","157/14163",0.0017292710569685,0.0900412936526282,0.085228805089391,"ACVR1C/ITGBL1/ITGAX/RAMP2/IL12RB1",5
"BP","1","GO:1903708","positive regulation of hemopoiesis","5/73","162/13552",0.00179108248358212,0.0430288837410033,0.0370680175045056,"TAL1/GATA2/TREM2/PIK3R6/IL12RB1",5
"BP","1","GO:0070098","chemokine-mediated signaling pathway","3/73","45/13552",0.00180910461155871,0.0430288837410033,0.0370680175045056,"CX3CR1/TREM2/CCL3",3
"BP","1","GO:0002363","alpha-beta T cell lineage commitment","2/73","12/13552",0.00182411988282762,0.0430288837410033,0.0370680175045056,"SPN/IL12RB1",2
"BP","1","GO:0060100","positive regulation of phagocytosis, engulfment","2/73","12/13552",0.00182411988282762,0.0430288837410033,0.0370680175045056,"GATA2/TREM2",2
"BP","1","GO:1905155","positive regulation of membrane invagination","2/73","12/13552",0.00182411988282762,0.0430288837410033,0.0370680175045056,"GATA2/TREM2",2
"BP","1","GO:0002761","regulation of myeloid leukocyte differentiation","4/73","97/13552",0.00184013386824443,0.0430288837410033,0.0370680175045056,"TAL1/GATA2/TREM2/CCL3",4
"BP","1","GO:0032496","response to lipopolysaccharide","6/73","242/13552",0.00191182830415174,0.0438787124398676,0.0378001179530077,"PTAFR/CX3CR1/TREM2/IRF8/CCL3/LILRA2",6
"BP","1","GO:1905517","macrophage migration","3/73","46/13552",0.00192788718980086,0.0438787124398676,0.0378001179530077,"CX3CR1/TREM2/CCL3",3
"BP","1","GO:0010959","regulation of metal ion transport","7/73","330/13552",0.00195909193796599,0.0440022360277361,0.0379065296030261,"CD84/ADRB2/TREM2/CCL3/CD33/LILRA2/EDN3",7
"MF","1","GO:0033691","sialic acid binding","2/78","12/13926",0.00197108141741335,0.0507534382102949,0.0459916739846151,"SIGLEC11/CD33",2
"BP","1","GO:0002886","regulation of myeloid leukocyte mediated immunity","3/73","47/13552",0.00205142535663921,0.0445537998184459,0.0383816843007856,"PTAFR/CD84/GATA2",3
"BP","1","GO:0043551","regulation of phosphatidylinositol 3-kinase activity","3/73","47/13552",0.00205142535663921,0.0445537998184459,0.0383816843007856,"PIK3R6/PIK3R5/SOCS6",3
"BP","1","GO:0001819","positive regulation of cytokine production","7/73","333/13552",0.00206195089962345,0.0445537998184459,0.0383816843007856,"PTAFR/TREM2/IRF8/CCL3/IL12RB1/LILRA2/TLR7",7
"CC","1","GO:0043235","receptor complex","7/78","326/14163",0.00209398357331693,0.0900412936526282,0.085228805089391,"ACVR1C/ADRB2/ITGBL1/ITGAX/RAMP2/IL12RB1/TLR7",7
"BP","1","GO:0043369","CD4-positive or CD8-positive, alpha-beta T cell lineage commitment","2/73","13/13552",0.00214827638175311,0.0452729356006488,0.0390011969500856,"SPN/IL12RB1",2
"BP","1","GO:0060099","regulation of phagocytosis, engulfment","2/73","13/13552",0.00214827638175311,0.0452729356006488,0.0390011969500856,"GATA2/TREM2",2
"BP","1","GO:0002573","myeloid leukocyte differentiation","5/73","170/13552",0.00221139115417979,0.0460346914656695,0.0396574254478712,"TAL1/GATA2/TREM2/CCL3/CEBPA",5
"BP","1","GO:0045765","regulation of angiogenesis","6/73","250/13552",0.00225132608208908,0.0463013689412779,0.039887159628135,"CX3CR1/GATA2/HHEX/ITGAX/PIK3R6/RAMP2",6
"BP","1","GO:0043410","positive regulation of MAPK cascade","8/73","436/13552",0.00232085173612824,0.0466179291941868,0.0401598662376462,"ADRB2/TREM2/PIK3R6/PIK3R5/CCL3/TMEM106A/GAREM1/EDN3",8
"MF","1","GO:0038187","pattern recognition receptor activity","2/78","13/13926",0.00232101772301796,0.0507534382102949,0.0459916739846151,"PTAFR/TLR7",2
"KEGG","-1","hsa05204","Chemical carcinogenesis","2/13","35/6190",0.00232993410102131,0.0217460516095322,0.0179854562184101,"1558/119391",2
"BP","1","GO:0050729","positive regulation of inflammatory response","4/73","104/13552",0.00237397924442534,0.0466179291941868,0.0401598662376462,"TREM2/CCL3/CEBPA/TLR7",4
"BP","1","GO:0002237","response to molecule of bacterial origin","6/73","254/13552",0.00243726568540852,0.0466179291941868,0.0401598662376462,"PTAFR/CX3CR1/TREM2/IRF8/CCL3/LILRA2",6
"BP","1","GO:0001562","response to protozoan","2/73","14/13552",0.00249760435069388,0.0466179291941868,0.0401598662376462,"GBP4/IRF8",2
"BP","1","GO:0042832","defense response to protozoan","2/73","14/13552",0.00249760435069388,0.0466179291941868,0.0401598662376462,"GBP4/IRF8",2
"BP","1","GO:1903978","regulation of microglial cell activation","2/73","14/13552",0.00249760435069388,0.0466179291941868,0.0401598662376462,"TREM2/CCL3",2
"BP","1","GO:1905153","regulation of membrane invagination","2/73","14/13552",0.00249760435069388,0.0466179291941868,0.0401598662376462,"GATA2/TREM2",2
"MF","1","GO:0005525","GTP binding","7/78","332/13926",0.00254876494289626,0.0507534382102949,0.0459916739846151,"GBP4/GIMAP8/GIMAP7/GIMAP4/GIMAP6/GIMAP2/RERGL",7
"BP","1","GO:0030098","lymphocyte differentiation","6/73","257/13552",0.0025841539832231,0.0466179291941868,0.0401598662376462,"HHEX/SPN/PIK3R6/LYL1/IL12RB1/DOCK11",6
"BP","1","GO:0008347","glial cell migration","3/73","51/13552",0.00259443659838767,0.0466179291941868,0.0401598662376462,"CX3CR1/TREM2/CCL3",3
"BP","1","GO:0031663","lipopolysaccharide-mediated signaling pathway","3/73","51/13552",0.00259443659838767,0.0466179291941868,0.0401598662376462,"PTAFR/CCL3/LILRA2",3
"BP","1","GO:0045576","mast cell activation","3/73","51/13552",0.00259443659838767,0.0466179291941868,0.0401598662376462,"CD84/GATA2/CD300LF",3
"BP","1","GO:0050766","positive regulation of phagocytosis","3/73","51/13552",0.00259443659838767,0.0466179291941868,0.0401598662376462,"GATA2/TREM2/CD300LF",3
"BP","1","GO:0032635","interleukin-6 production","4/73","108/13552",0.00272258227758116,0.0480838342026702,0.0414226968711684,"TREM2/TMEM106A/LILRA2/TLR7",4
"MF","1","GO:0032550","purine ribonucleoside binding","7/78","336/13926",0.00272490084896235,0.0507534382102949,0.0459916739846151,"GBP4/GIMAP8/GIMAP7/GIMAP4/GIMAP6/GIMAP2/RERGL",7
"BP","1","GO:0007596","blood coagulation","6/73","260/13552",0.0027376163963252,0.0480838342026702,0.0414226968711684,"GATA2/TREML1/A2M/PIK3R6/PIK3R5/DOCK11",6
"BP","1","GO:0007159","leukocyte cell-cell adhesion","6/73","262/13552",0.00284366758474524,0.0480838342026702,0.0414226968711684,"PTAFR/CX3CR1/SPN/PIK3R6/SOCS6/IL12RB1",6
"BP","1","GO:0050817","coagulation","6/73","262/13552",0.00284366758474524,0.0480838342026702,0.0414226968711684,"GATA2/TREML1/A2M/PIK3R6/PIK3R5/DOCK11",6
"MF","1","GO:0001883","purine nucleoside binding","7/78","339/13926",0.00286304804926121,0.0507534382102949,0.0459916739846151,"GBP4/GIMAP8/GIMAP7/GIMAP4/GIMAP6/GIMAP2/RERGL",7
"MF","1","GO:0032549","ribonucleoside binding","7/78","339/13926",0.00286304804926121,0.0507534382102949,0.0459916739846151,"GBP4/GIMAP8/GIMAP7/GIMAP4/GIMAP6/GIMAP2/RERGL",7
"BP","1","GO:0043900","regulation of multi-organism process","3/73","53/13552",0.00289612967523382,0.0480838342026702,0.0414226968711684,"PTAFR/ACVR1C/HPGDS",3
"BP","1","GO:1990868","response to chemokine","3/73","53/13552",0.00289612967523382,0.0480838342026702,0.0414226968711684,"CX3CR1/TREM2/CCL3",3
"BP","1","GO:1990869","cellular response to chemokine","3/73","53/13552",0.00289612967523382,0.0480838342026702,0.0414226968711684,"CX3CR1/TREM2/CCL3",3
"BP","1","GO:0071695","anatomical structure maturation","5/73","181/13552",0.00290136785171355,0.0480838342026702,0.0414226968711684,"TAL1/CX3CR1/GATA2/LYL1/CEBPA",5
"BP","1","GO:0150076","neuroinflammatory response","3/73","54/13552",0.00305473146227087,0.0501387173663113,0.0431929134898017,"TREM2/CCL3/TLR7",3
"MF","1","GO:0001614","purinergic nucleotide receptor activity","2/78","15/13926",0.00310185536205087,0.0507534382102949,0.0459916739846151,"PTAFR/P2RY13",2
"MF","1","GO:0016502","nucleotide receptor activity","2/78","15/13926",0.00310185536205087,0.0507534382102949,0.0459916739846151,"PTAFR/P2RY13",2
"BP","-1","GO:0043124","negative regulation of I-kappaB kinase/NF-kappaB signaling","2/29","39/13552",0.00311948017356413,0.246814317364548,0.211955650050282,"PER1/NR1D1",2
"MF","1","GO:0001882","nucleoside binding","7/78","345/13926",0.00315546602872936,0.0507534382102949,0.0459916739846151,"GBP4/GIMAP8/GIMAP7/GIMAP4/GIMAP6/GIMAP2/RERGL",7
"BP","1","GO:0043550","regulation of lipid kinase activity","3/73","55/13552",0.00321857918187892,0.0507333303295276,0.0437051536831931,"PIK3R6/PIK3R5/SOCS6",3
"BP","1","GO:0045123","cellular extravasation","3/73","55/13552",0.00321857918187892,0.0507333303295276,0.0437051536831931,"PTAFR/CX3CR1/SPN",3
"BP","1","GO:0002360","T cell lineage commitment","2/73","16/13552",0.00327068458343572,0.0507333303295276,0.0437051536831931,"SPN/IL12RB1",2
"BP","1","GO:0035855","megakaryocyte development","2/73","16/13552",0.00327068458343572,0.0507333303295276,0.0437051536831931,"TAL1/FLI1",2
"BP","1","GO:0043901","negative regulation of multi-organism process","2/73","16/13552",0.00327068458343572,0.0507333303295276,0.0437051536831931,"ACVR1C/HPGDS",2
"BP","1","GO:0030099","myeloid cell differentiation","7/73","362/13552",0.0032871085919957,0.0507333303295276,0.0437051536831931,"TAL1/GATA2/TREM2/FLI1/IRF8/CCL3/CEBPA",7
"BP","1","GO:0031349","positive regulation of defense response","6/73","270/13552",0.00329900390543501,0.0507333303295276,0.0437051536831931,"SFPQ/TREM2/CCL3/CEBPA/LILRA2/TLR7",6
"MF","1","GO:0019001","guanyl nucleotide binding","7/78","348/13926",0.00331000683980184,0.0507534382102949,0.0459916739846151,"GBP4/GIMAP8/GIMAP7/GIMAP4/GIMAP6/GIMAP2/RERGL",7
"MF","1","GO:0032561","guanyl ribonucleotide binding","7/78","348/13926",0.00331000683980184,0.0507534382102949,0.0459916739846151,"GBP4/GIMAP8/GIMAP7/GIMAP4/GIMAP6/GIMAP2/RERGL",7
"MF","-1","GO:0001221","transcription cofactor binding","2/27","45/13926",0.00340431531090922,0.115746720570914,0.091976238224565,"PER1/NR1D1",2
"BP","-1","GO:0048512","circadian behavior","2/29","41/13552",0.00344292953282733,0.246814317364548,0.211955650050282,"CIART/NR1D1",2
"MF","1","GO:0016854","racemase and epimerase activity","2/78","16/13926",0.00353214607086275,0.0507745997686521,0.0460108501336069,"DHRS9/RENBP",2
"BP","-1","GO:0007622","rhythmic behavior","2/29","42/13552",0.00361029476658166,0.246814317364548,0.211955650050282,"CIART/NR1D1",2
"KEGG","1","hsa04061","Viral protein interaction with cytokine and cytokine receptor","3/44","44/6190",0.00362230535149144,0.0981741495613054,0.0907386234712964,"1524/8743/6348",3
"BP","1","GO:0007252","I-kappaB phosphorylation","2/73","17/13552",0.00369389712851563,0.0562989499855016,0.0484997583509054,"CX3CR1/TLR7",2
"CC","1","GO:0070821","tertiary granule membrane","3/78","57/14163",0.00379738427903436,0.122465642998858,0.115920151675786,"PTAFR/ITGAX/CD33",3
"KEGG","1","hsa04060","Cytokine-cytokine receptor interaction","5/44","149/6190",0.00385169931145571,0.0981741495613054,0.0907386234712964,"130399/1524/8743/6348/3594",5
"BP","1","GO:1901342","regulation of vasculature development","6/73","279/13552",0.00387415163941224,0.0585236889245725,0.050416300328448,"CX3CR1/GATA2/HHEX/ITGAX/PIK3R6/RAMP2",6
"BP","1","GO:0031646","positive regulation of nervous system process","3/73","59/13552",0.00392751309045981,0.0588093407492535,0.0506623803081474,"PTAFR/ADRB2/ITGAX",3
"MF","1","GO:0019956","chemokine binding","2/78","17/13926",0.00398861511783739,0.0539636163001529,0.0489006683177587,"CX3CR1/A2M",2
"KEGG","1","hsa05202","Transcriptional misregulation in cancer","5/44","151/6190",0.00407796723606775,0.0981741495613054,0.0907386234712964,"3087/4005/2313/4066/1050",5
"BP","1","GO:0032637","interleukin-8 production","3/73","60/13552",0.00411839193808511,0.0599070445985338,0.0516080173305903,"CD33/LILRA2/TLR7",3
"BP","1","GO:0035162","embryonic hemopoiesis","2/73","18/13552",0.00414120167699296,0.0599070445985338,0.0516080173305903,"TAL1/GATA2",2
"BP","1","GO:1901685","glutathione derivative metabolic process","2/73","18/13552",0.00414120167699296,0.0599070445985338,0.0516080173305903,"GSTM1/HPGDS",2
"BP","1","GO:1901687","glutathione derivative biosynthetic process","2/73","18/13552",0.00414120167699296,0.0599070445985338,0.0516080173305903,"GSTM1/HPGDS",2
"BP","1","GO:0032103","positive regulation of response to external stimulus","7/73","379/13552",0.00422776365311293,0.0606453155954939,0.0522440143600067,"SFPQ/TREM2/CCL3/CEBPA/LILRA2/EDN3/TLR7",7
"BP","1","GO:0002697","regulation of immune effector process","6/73","288/13552",0.00452080563133481,0.0643084601057377,0.0553996970787257,"PTAFR/CD84/GATA2/A2M/PIK3R6/IL12RB1",6
"BP","1","GO:0002021","response to dietary excess","2/73","19/13552",0.00461233364289455,0.0645348649870574,0.0555947376973571,"ACVR1C/ADRB2",2
